sample_id,theta_ej_0,nu_theta_ej_M,nu_theta_ej_z,mu_beta
268,3.3161239624023438,-0.1544848531484604,0.23371538519859314,0.7724205851554871
269,4.15736722946167,-0.23614519834518433,-1.5014480352401733,0.46963390707969666
270,4.5669684410095215,-0.2577560245990753,0.7735036015510559,0.8932511806488037
271,3.31251859664917,-0.07126808911561966,-1.29904305934906,0.9137495756149292
272,2.1917262077331543,-0.15925681591033936,0.20994113385677338,0.544270396232605
273,1.8172917366027832,-0.10804346203804016,-0.6761478781700134,0.8767220377922058
274,2.5151326656341553,-0.001047760248184204,-2.0828464031219482,1.0364933013916016
275,5.760656356811523,-0.08791178464889526,2.1548635959625244,0.9031540155410767
276,3.6153523921966553,-0.08176777511835098,-0.3857998847961426,1.2265900373458862
277,5.904560089111328,-0.1523476541042328,0.06556385010480881,0.8040677309036255
278,2.431356906890869,-0.13969220221042633,1.8451296091079712,1.0145717859268188
279,5.5783843994140625,-0.2432771623134613,2.3929874897003174,0.743058979511261
280,3.180647373199463,-0.11499552428722382,1.4459537267684937,0.5053324103355408
281,4.319890975952148,-0.1576164811849594,1.702573299407959,0.2842719852924347
282,5.4697041511535645,-0.13730528950691223,1.4673802852630615,1.2772350311279297
283,3.4227075576782227,-0.11161249876022339,2.37190580368042,1.380838394165039
284,3.2148399353027344,-0.1814093142747879,-0.7392223477363586,0.7498603463172913
285,3.2148399353027344,-0.1814093142747879,-0.7392223477363586,0.7498603463172913
286,5.656620502471924,-0.18711009621620178,-0.5621296763420105,0.8637404441833496
287,5.757444858551025,-0.07321998476982117,-0.8257227540016174,0.9492098689079285
288,1.6601247787475586,-0.23564641177654266,2.2774205207824707,0.6946519017219543
289,3.941006898880005,-0.09592963010072708,1.4511619806289673,0.6793357133865356
290,3.153027057647705,-0.207917258143425,0.8189350366592407,0.8075948357582092
291,2.3971242904663086,-0.242141455411911,0.4990313947200775,0.8035994172096252
292,4.34755277633667,-0.014207735657691956,-0.6620866060256958,0.6458147168159485
293,2.057757616043091,-0.13682380318641663,-2.9603874683380127,1.1166024208068848
294,4.793900489807129,-0.2095455378293991,-0.06642042100429535,0.15340715646743774
295,3.6382670402526855,-0.07705896347761154,0.11133846640586853,0.7435416579246521
296,2.973405361175537,-0.23859988152980804,1.5203014612197876,0.2517993450164795
297,2.9108095169067383,-0.12331356853246689,0.3710186779499054,0.5762300491333008
298,5.0704193115234375,-0.20231813192367554,-0.18712876737117767,0.7169018387794495
299,3.0632317066192627,-0.21040193736553192,-0.15409263968467712,0.7499111294746399
300,4.550164222717285,-0.05118879675865173,0.1771097332239151,1.0058387517929077
301,5.463264465332031,-0.11166651546955109,0.4582531452178955,0.8271697163581848
302,3.9608476161956787,-0.22374427318572998,-0.16014470160007477,1.304679036140442
303,4.598559379577637,-0.0720943808555603,0.2503531277179718,0.41045841574668884
304,2.3120415210723877,-0.13773511350154877,0.900920569896698,0.967602014541626
305,4.0095295906066895,-0.1430492252111435,-2.8873586654663086,1.0512900352478027
306,4.381434440612793,-0.09986869990825653,-0.3267958164215088,0.6461892127990723
307,3.3638062477111816,-0.22531284391880035,-1.8860255479812622,0.18312537670135498
308,2.417536735534668,-0.18264800310134888,0.10908400267362595,1.364258050918579
309,5.216762542724609,-0.15200479328632355,-0.9900276064872742,0.4931289851665497
310,2.6514670848846436,-0.22192764282226562,0.016222864389419556,0.19255799055099487
311,2.198448896408081,-0.05998308211565018,1.4042741060256958,0.6441582441329956
312,1.8663969039916992,-0.15645843744277954,0.2214842587709427,0.3221686780452728
313,1.6327242851257324,-0.22981508076190948,1.116517186164856,1.3691627979278564
314,4.554027080535889,-0.09536077082157135,-1.4060550928115845,1.0233910083770752
315,1.3749935626983643,-0.2106788009405136,2.4007468223571777,0.3597511351108551
316,3.9608476161956787,-0.22374427318572998,-0.16014470160007477,1.304679036140442
317,4.719273567199707,-0.0047716498374938965,0.7478145360946655,0.44403722882270813
318,3.5690815448760986,-0.181904137134552,0.7396720051765442,0.5002778768539429
319,3.9197490215301514,-0.129907488822937,-0.46586188673973083,1.2139489650726318
320,4.522077560424805,-0.1998610496520996,-0.22233307361602783,0.69390869140625
321,3.630733013153076,-0.288899302482605,-0.6449106335639954,0.5286649465560913
322,3.2883808612823486,-0.19650954008102417,-0.008943678811192513,0.7094257473945618
